date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2025-12-26,512720,计算机ETF,1,31,🚩高风险(陷阱),-14.05,85.71,1.27,1.181
2025-12-26,515750,科技50ETF,1,31,🚩高风险(陷阱),-10.36,92.65,1.06,1.808
2025-12-26,588000,科创50ETF,1,31,🚩高风险(陷阱),-12.3,92.16,0.65,1.419
2025-12-26,512980,传媒ETF,1,18,🚩高风险(陷阱),-10.79,86.36,0.45,0.967
2025-12-26,512170,医疗ETF,1,30,正常,-13.68,53.33,0.05,0.347
2025-12-26,515400,大数据ETF,1,36,🚩高风险(陷阱),-16.01,86.49,1.35,0.923
2025-12-26,512690,酒ETF,1,253,正常,-15.64,44.44,-0.27,0.55
2025-12-26,513180,恒生科技指数ETF,1,31,🚩高风险(陷阱),-15.75,82.14,0.48,0.738
2025-12-26,515220,煤炭ETF,3,15,✅高胜率区,-13.99,13.64,-0.35,1.039
2025-12-26,515120,创新药ETF,1,30,🚩高风险(陷阱),-15.44,81.25,0.05,0.641
2025-12-26,520830,沙特ETF,1,104,🚩高风险(陷阱),-30.79,61.9,-0.04,0.906
2025-12-26,512760,芯片ETF,1,36,🚩高风险(陷阱),-10.66,91.86,1.08,1.618
2025-12-26,159992,创新药ETF,1,30,🚩高风险(陷阱),-15.36,77.27,-0.02,0.854
2025-12-26,512700,银行ETF南方,3,1,✅高胜率区,-10.06,16.67,-0.37,1.6
2025-12-26,515250,智能汽车ETF,1,39,🚩高风险(陷阱),-11.43,83.54,1.22,1.147
2025-12-26,515230,软件ETF,1,36,🚩高风险(陷阱),-16.35,76.92,1.25,0.875
2025-12-26,512290,生物医药ETF,1,40,🚩高风险(陷阱),-15.82,79.31,0.39,1.027
2025-12-26,512010,医药ETF,1,31,🚩高风险(陷阱),-15.13,64.29,0.13,0.387
2025-12-26,515950,医药龙头ETF,1,30,🚩高风险(陷阱),-13.79,66.67,0.21,0.944
